tract,state_abbr,year,hpi
1117030330,AL,2000,162.66
1117030331,AL,2000,174.85
1117030336,AL,2000,132.01
1117030340,AL,2000,157.40
1117030345,AL,2000,138.73
1117030346,AL,2000,145.00
1117030347,AL,2000,138.22
1117030348,AL,2000,145.40
1117030350,AL,2000,114.82
1117030351,AL,2000,124.68
1117030352,AL,2000,147.04
1117030406,AL,2000,132.68
1117030408,AL,2000,109.68
1117030502,AL,2000,105.82
1117030503,AL,2000,129.64
1117030607,AL,2000,133.21
1117030610,AL,2000,143.76
1117030611,AL,2000,111.94
1117030612,AL,2000,145.62
1117030613,AL,2000,100.00
1117030615,AL,2000,109.40
1117030616,AL,2000,115.41
1117030701,AL,2000,112.49
1117030703,AL,2000,146.93
1117030704,AL,2000,137.43
1117030800,AL,2000,109.59
1121010101,AL,2000,122.40
1121010202,AL,2000,115.07
1121010302,AL,2000,142.87
1121011700,AL,2000,109.22
1123962000,AL,2000,95.84
1123962200,AL,2000,101.46
1123962301,AL,2000,106.23
1123962501,AL,2000,142.68
1123962502,AL,2000,134.62
1125010101,AL,2000,133.03
1125010102,AL,2000,162.98
1125010104,AL,2000,103.88
1125010105,AL,2000,98.68
1125010201,AL,2000,103.80
1125010203,AL,2000,151.48
1125010204,AL,2000,134.54
1125010205,AL,2000,145.36
1125010206,AL,2000,130.23
1125010302,AL,2000,104.08
1125010303,AL,2000,110.90
1125010304,AL,2000,107.64
1125010305,AL,2000,107.83
1125010403,AL,2000,117.38
1125010405,AL,2000,141.93
1125010406,AL,2000,154.34
1125010407,AL,2000,135.68
1125010601,AL,2000,104.77
1125010603,AL,2000,150.41
1125010604,AL,2000,149.55
1125010704,AL,2000,126.24
1125010705,AL,2000,127.98
1125010706,AL,2000,130.32
1125010707,AL,2000,114.02
1125010802,AL,2000,134.32
1125010803,AL,2000,96.14
1125010804,AL,2000,101.45
1125011402,AL,2000,134.26
1125011901,AL,2000,147.48
1125012101,AL,2000,133.54
1125012305,AL,2000,143.94
1125012306,AL,2000,140.79
1125012403,AL,2000,138.12
1125012404,AL,2000,110.28
1125012406,AL,2000,102.97
1125012503,AL,2000,130.87
1125012504,AL,2000,101.89
1125012505,AL,2000,134.98
1125012700,AL,2000,133.89
1127020200,AL,2000,116.87
1127020301,AL,2000,153.73
1127020302,AL,2000,108.40
1127020700,AL,2000,98.37
1127020802,AL,2000,107.08
1127020900,AL,2000,111.10
2020000101,AK,2000,133.96
2020000102,AK,2000,104.82
2020000202,AK,2000,125.25
2020000204,AK,2000,109.89
2020000205,AK,2000,127.62
2020000206,AK,2000,129.65
2020000701,AK,2000,127.39
2020000702,AK,2000,117.03
2020000801,AK,2000,102.95
2020001200,AK,2000,109.23
2020001300,AK,2000,240.56
2020001500,AK,2000,282.43
2020001601,AK,2000,116.01
2020001602,AK,2000,119.08
2020001701,AK,2000,256.51
2020001702,AK,2000,252.73
2020001731,AK,2000,121.36
2020001732,AK,2000,247.49
2020001801,AK,2000,107.96
2020002100,AK,2000,
2020002201,AK,2000,112.87
2020002202,AK,2000,106.18
2020002301,AK,2000,253.73
2020002302,AK,2000,117.36
2020002304,AK,2000,99.74
2020002305,AK,2000,112.76
